feature,importance
SHOT_DISTANCE,0.8626050297725746
DISTANCE_FROM_CENTER,0.06191984037236477
MINS_LEFT,0.011406963597651799
SHOT_ANGLE,0.010765082844769945
LOC_Y,0.010331155188768386
LOC_X,0.009668917327432852
SECS_LEFT,0.008757990610504335
TIME_REMAINING,0.006533770797868715
POSITION_GROUP_G,0.0051012792904869915
QUARTER,0.00402266972182232
POSITION_GROUP_C,0.0022152479592416376
BASIC_ZONE_Restricted Area,0.0017505165994269425
ZONE_NAME_Center,0.0014169972302521937
POSITION_SF,0.0009295922110953343
BASIC_ZONE_Above the Break 3,0.0008651233154971759
POSITION_PG,0.0005114914876036216
POSITION_GROUP_F,0.0003245480583994719
POSITION_C,0.00020040134367394697
POSITION_Unknown,0.00015277339529859823
POSITION_PF,0.00013217553626425406
POSITION_PF-SF,7.489682353338197e-05
BASIC_ZONE_In The Paint (Non-RA),6.851211564076478e-05
POSITION_PG-SG,6.194201085162641e-05
POSITION_SG-SF,5.9687259074484555e-05
POSITION_GROUP_nan,4.966201266140883e-05
POSITION_SG,4.509565188354522e-05
POSITION_SG-PG,2.8637465356869505e-05
POSITION_C-PF,0.0
SHOT_TYPE_2PT Field Goal,0.0
SHOT_TYPE_3PT Field Goal,0.0
BASIC_ZONE_Backcourt,0.0
BASIC_ZONE_Left Corner 3,0.0
BASIC_ZONE_Mid-Range,0.0
POSITION_SG-PG-SF,0.0
POSITION_SG-PF,0.0
POSITION_SF-SG,0.0
ZONE_NAME_Right Side,0.0
POSITION_SF-PF,0.0
POSITION_SF-C,0.0
BASIC_ZONE_Right Corner 3,0.0
ZONE_NAME_Back Court,0.0
POSITION_PG-SF,0.0
ZONE_NAME_Left Side,0.0
ZONE_NAME_Left Side Center,0.0
POSITION_PF-C,0.0
ZONE_NAME_Right Side Center,0.0
